timestamp,tvlUSD,tvlETH,BTC,ETH,DAI,date
1621094400,82927286340,21224821.11750689,167513.93192824998,9997835.103258306,2788429952.1445475,2021-05-15
1621036800,85573135899,20971032.240585804,168096.20844224995,10040681.77757471,2772736619.6413956,2021-05-15
1620950400,78474633419,21095218.14909598,165570.83020299,10065737.330970272,2683868601.58342,2021-05-14
1620864000,78492368915,20617906.203047015,169617.04775834997,10016088.356606152,2863272751.9287276,2021-05-13
1620777600,86711087930,20751080.60057961,169230.06404237004,10101751.901567155,2918549379.8799973,2021-05-12
1620691200,83192238001,21075305.139358256,168458.39247239,10123276.859862152,2907718540.210985,2021-05-11
1620604800,84872092994,21640003.313105557,166559.5841857,10279916.438904151,2854624375.590936,2021-05-10
1620518400,84269055094,21617649.120097693,164721.39861276996,10281114.714859156,2756126264.5389886,2021-05-09
1620432000,79180766268,22734409.72878611,166082.21037419993,10462635.556641154,2791130862.09483,2021-05-08
1620345600,78616485769,22640519.116283357,166955.71690183002,10402170.315317152,2736449253.3041415,2021-05-07
1620259200,77788136466,22059170.830379378,167164.28157292996,10444358.166238151,2582497128.8441377,2021-05-06
1620172800,73399717921,22613334.500255715,166500.02155044995,10524537.674072152,2493641609.598359,2021-05-05
1620086400,77709787053,22663050.48032616,166355.4543146701,10551563.281306151,2469624597.2779775,2021-05-04
1620000000,70549187492,23897723.844139658,158379.67743217997,10635160.167749157,2433694884.237175,2021-05-03
1619913600,71096509155,24139134.19267438,158242.11705504,10676393.932477156,2371694575.3587065,2021-05-02
1619827200,68783371775,24772874.267078683,155805.10174373,10711190.372957157,2349439581.3788147,2021-05-01
1619740800,68045685773,24661471.581514873,153780.37636999,10586086.141114153,2304862151.8399568,2021-04-30
1619654400,66536873189,24201386.96722801,154949.86783024002,10924648.354750153,2254191855.3675494,2021-04-29
1619568000,65387497829,24523223.81870347,150713.64859403006,10963820.402791156,2269994647.177041,2021-04-28
1619481600,61910114160,24419823.827329952,148810.32547685,10920343.099586157,2233517264.282161,2021-04-27
1619395200,56187076362,24208132.85738906,148724.43896039005,10754508.105127158,2168529104.828118,2021-04-26
1619308800,54448082814,24525169.166114893,146959.82468378,10759570.148905154,2142670799.9574306,2021-04-25
1619222400,57213538334,24160408.40600152,148350.5784001,10836581.176741159,2113666601.4495473,2021-04-24
1619136000,58902903948,24495416.774998438,148436.57876487006,11015862.551222159,2134709231.5682414,2021-04-23
1619049600,58403385904,24747407.140738487,149105.61689841,11042997.882234152,2115990698.0108633,2021-04-22
1618963200,58462811920,25051446.803587418,148447.83721061,11052653.680079153,2095162231.0645542,2021-04-21
1618876800,56258186109,25987706.074002214,148617.10287802,11099698.980673153,2116441229.7159073,2021-04-20
1618790400,58237515090,25930822.25675459,148490.29278873,11088232.352514155,2151539725.3328595,2021-04-19
1618704000,60844125353,26166815.190259937,149151.13454318,11066801.579477154,2191607648.4036994,2021-04-18
1618617600,62333632462,25662895.11556481,151174.48126435,10990591.83675916,2165775195.8351007,2021-04-17
1618531200,63113075596,25084289.43736983,150951.96245425,10797111.273061156,2014128642.4384797,2021-04-16
1618444800,60320277090,24799890.263456512,151068.25137839,10764915.04124416,1985173856.483193,2021-04-15
1618358400,57819464069,25143270.163941555,146551.91908358003,10805346.550591158,1935955795.797499,2021-04-14
1618272000,55043181412,25743367.589738794,146786.10322284003,10873172.678293157,1977334728.6528044,2021-04-13
1618185600,54281182396,25253521.782781646,147285.01860852,10956644.893269157,1843241087.4242096,2021-04-12
1618099200,54256449015,25434300.119538717,147853.26161208,10992653.521099158,1873350801.816631,2021-04-11
1618012800,53305405571,25793770.236620538,149459.94664223,10961891.305538157,1855101229.4396691,2021-04-10
1617926400,53679755019,25805713.53940822,148059.64917083003,11023625.996904155,1865608696.29139,2021-04-09
1617840000,51364251155,26189013.942354262,159454.16055027,10955634.047773156,1924678152.7219393,2021-04-08
1617753600,54003753687,25566448.587551903,143912.08847231002,11037565.709462155,2021953203.7807028,2021-04-07
1617667200,53795662145,25563177.571492374,142823.50230974,11010683.720922157,2036028737.580543,2021-04-06
1617580800,53034004154,25568660.460519336,142521.35592733006,10991987.307769157,1987960767.0283363,2021-04-05
1617494400,51122466314,25429002.344807006,96476.99297539,10963888.10054016,1998484266.648106,2021-04-04
1617408000,51925274770,24313455.68583014,145569.62517675996,9825144.454660159,1967715029.1460552,2021-04-03
1617321600,49246996153,25021972.99646876,144847.02200837003,9874050.556003157,1877955017.0301142,2021-04-02
1617235200,48266350173,25176357.457762387,144854.27346401,9882047.470980156,1822878912.4901392,2021-04-01
1617148800,47713691330,25921351.722976457,145576.81106896995,9966601.905211156,1853654562.5253208,2021-03-31
1617062400,46168097442,25407571.09790325,134087.08415909004,9905474.252681155,1818489121.45362,2021-03-30
1616976000,43416976254,25741697.25252573,137151.51780802998,9465144.285847155,1753863950.4722834,2021-03-29
1616889600,43695753458,25505342.90100396,138829.64349672,9427007.337850155,1664391156.628492,2021-03-28
1616803200,43919416595,25848179.124022294,138455.02485808998,9380558.674028158,1663753183.5420868,2021-03-27
1616716800,41280997229,25988880.219212923,137881.23508932002,9453129.111560157,1628808584.0002723,2021-03-26
1616630400,40998745624,25876022.054619007,137689.23259531008,9422139.32100216,1579847651.987567,2021-03-25
1615766400,46012545853,24883482.874556538,142877.30540364995,9115050.427756159,1601746931.2240283,2021-03-15
1615680000,47220130051,24572700.57034319,141720.48144592994,9064225.131504156,1605519279.8511653,2021-03-14
1615593600,43935561579,24866042.35634364,138312.00316224998,9070214.582488157,1594698846.3221102,2021-03-13
