date,usd,usdt
1/1/19,0.8,0.06
2/1/19,0.8,0.06
3/1/19,0.7,0.06
4/1/19,0.7,0.06
5/1/19,1.2,0.4
6/1/19,1.3,0.7
7/1/19,1.5,1.1
8/1/19,2.5,1.6
9/1/19,2.5,1.9
10/1/19,3.1,2
11/1/19,3.1,2
12/1/19,3.1,2
1/1/20,3.4,2.3
2/1/20,3.3,2.3
3/1/20,3.7,2.7
4/1/20,6.1,4.4
5/1/20,7.1,5.6
6/1/20,7.2,5.7
7/1/20,7.7,6.1
8/1/20,8.7,6.5
9/1/20,11.5,8.7
10/1/20,15.1,10.3
11/1/20,16.3,11.1
12/1/20,17.9,12.4
1/1/21,20.9,13.6
2/1/21,29.3,15.4
3/1/21,37.5,20.6
4/1/21,42.9,22.4
